Description,Actual_price,Discount_price,Image_urls
A classic and delicate piece like this red beaded kundan set is a must-have in every jewellery collection. Features a necklace crafted from kundan stones and red beads  Style Tip : Pair this with a mangtika with red bead drops.,4500, 2250,"['https://img.faballey.com/images/Product/ZNS00054/d3.jpg', 'https://img.faballey.com/images/Product/ZNS00054/d4.jpg', 'https://img.faballey.com/images/Product/ZNS00054/d5.jpg', 'https://img.faballey.com/images/Product/ZNS00054/d6.jpg']"
If you love kundan but want to keep it simple and classy this set should be your pick! Features a gold plated white kundan necklace with a single red drop bead along with dangler earrings Style Tip: Pair this set with a classic bun to keep the look minimal and sophisticated.,3200, 1600,"['https://img.faballey.com/images/Product/ZNS00003/d3.jpg', 'https://img.faballey.com/images/Product/ZNS00003/d4.jpg', 'https://img.faballey.com/images/Product/ZNS00003/d5.jpg', 'https://img.faballey.com/images/Product/ZNS00003/d6.jpg']"
"Make a striking statement at the next cocktail-do with this gold-plated kundan pendant necklace set. The pendant, crafted with a long aqua blue stone and a kundan encrusted floral motif, comes with kundan floral stud earrings.  Style Tip: Complete the look with an aqua blue cocktail ring. Disclaimer: Our jewelry is handcrafted using natural stones which inherently vary in size, colour, and Shape, due to which the product you receive may be slightly different from what is shown. There may be natural blemishes in the stones that are not product flaws, but in fact, are what make your piece unique.  ",2950, 1475,"['https://img.faballey.com/images/Product/ZNS00062/d3.jpg', 'https://img.faballey.com/images/Product/ZNS00062/d4.jpg', 'https://img.faballey.com/images/Product/ZNS00062/d5.jpg', 'https://img.faballey.com/images/Product/ZNS00062/d6.jpg', 'https://img.faballey.com/images/Product/ZNS00062/d7.jpg']"
"Classic and timeless, this kundan and multicolor bead set is what makes your jewellery collection unfading. Features a necklace crafted from strings of kundan stones and green and red beads. Style Tip: Pair this set with a cocktail ring to complete the look.",4000, 2000,"['https://img.faballey.com/images/Product/ZNS00053/d3.jpg', 'https://img.faballey.com/images/Product/ZNS00053/d4.jpg', 'https://img.faballey.com/images/Product/ZNS00053/d5.jpg', 'https://img.faballey.com/images/Product/ZNS00053/d6.jpg']"
"For all those who shy away from statement pieces, this set is the perfect pick. Features a necklace crafted out of oval shaped kundan stones and pearl cluster drops along with earrings.  Style Tip: Complete the look with kundan and pearl bangles.",3500, 1750,"['https://img.faballey.com/images/Product/ZNS00046/d3.jpg', 'https://img.faballey.com/images/Product/ZNS00046/d4.jpg', 'https://img.faballey.com/images/Product/ZNS00046/d5.jpg', 'https://img.faballey.com/images/Product/ZNS00046/d6.jpg']"
"Classic and timeless, this kundan and green bead set is what makes your jewellery collection unfading. Features a necklace crafted from strings of kundan stones and green beads. Style Tip: Pair this set with a cocktail ring to complete the look.",4000, 2000,"['https://img.faballey.com/images/Product/ZNS00049/d3.jpg', 'https://img.faballey.com/images/Product/ZNS00049/d4.jpg', 'https://img.faballey.com/images/Product/ZNS00049/d5.jpg', 'https://img.faballey.com/images/Product/ZNS00049/d6.jpg']"
Give your festive look a magnificent feel with this rose gold plated necklace set. Crafted in a square shape and encrusted with CZ diamonds this necklace set is one of a kind piece to have and cherish.  Style Tip: Pair the necklace set with a cocktail sari and complete the look with subtle makeup. ,4900, 2450,"['https://img.faballey.com/images/Product/ZNS00064/d3.jpg', 'https://img.faballey.com/images/Product/ZNS00064/d4.jpg', 'https://img.faballey.com/images/Product/ZNS00064/d5.jpg', 'https://img.faballey.com/images/Product/ZNS00064/d6.jpg']"
"Pepper your festive look with the grandeur of this imposing gold-plated maroon kundan necklace set. It features alternating floral and square shaped kundan pieces on a single layer choker necklace along with complementing earrings.  Style Tip: Pair the set with an off-shoulder neckline. Disclaimer: Our jewelry is handcrafted using natural stones which inherently vary in size, colour, and Shape, due to which the product you receive may be slightly different from what is shown. There may be natural blemishes in the stones that are not product flaws, but in fact, are what make your piece unique.  ",4500, 2250,"['https://img.faballey.com/images/Product/ZNS00058/d3.jpg', 'https://img.faballey.com/images/Product/ZNS00058/d4.jpg', 'https://img.faballey.com/images/Product/ZNS00058/d5.jpg', 'https://img.faballey.com/images/Product/ZNS00058/d6.jpg']"
"A beautiful amalgamation of kundan and yellow pearls, this neckpiece will see you through your afternoon soirees to your cocktail evenings. Features a neat setting of pearls and kundan  Style Tip: Style this with a lush white blazer to give your western wear a romantic sartorial twist.",4000, 2000,"['https://img.faballey.com/images/Product/ZNS00048/d3.jpg', 'https://img.faballey.com/images/Product/ZNS00048/d4.jpg', 'https://img.faballey.com/images/Product/ZNS00048/d5.jpg', 'https://img.faballey.com/images/Product/ZNS00048/d6.jpg']"
"Old world charm meets modern elegance with this set. Features a gold plated white kundan set with crescent motifs and white enamel detailing, topped with white drop pearls. Style Tip: Pair this traditional piece with a saree and pull your hair up in a soft bun.",5000, 2500,"['https://img.faballey.com/images/Product/ZNS00007/d3.jpg', 'https://img.faballey.com/images/Product/ZNS00007/d4.jpg', 'https://img.faballey.com/images/Product/ZNS00007/d5.jpg', 'https://img.faballey.com/images/Product/ZNS00007/d6.jpg']"
"Be it for a day wedding or a night soiree, this gold toned necklace and earring set can be your go-to. Features a necklace crafted of two strings of pearls and square shaped kundan stones along with earrings.  Style Tip: Layer it with a kundan choker for some added bling.",4750, 2375,"['https://img.faballey.com/images/Product/ZNS00044/d3.jpg', 'https://img.faballey.com/images/Product/ZNS00044/d4.jpg', 'https://img.faballey.com/images/Product/ZNS00044/d5.jpg', 'https://img.faballey.com/images/Product/ZNS00044/d6.jpg']"
Add some oomph to your festive look with this white blue diamond necklace. Features blue diamonds encircled with delicate white diamonds.  Style Tip: Style it with diamond bangles.,5750, 2875,"['https://img.faballey.com/images/Product/ZNS00031/d3.jpg', 'https://img.faballey.com/images/Product/ZNS00031/d4.jpg', 'https://img.faballey.com/images/Product/ZNS00031/d5.jpg', 'https://img.faballey.com/images/Product/ZNS00031/d6.jpg']"
Amp up your festive season glam with this delectable kundan set. Featuring a string of kundan along with pearl drops running along the length of the necklace with pearl and kundan stud earrings  Style Tip : Style this set with an ivory toned saree and a bright blouse for a pop of color.,3500, 1750,"['https://img.faballey.com/images/Product/ZNS00035/d3.jpg', 'https://img.faballey.com/images/Product/ZNS00035/d4.jpg', 'https://img.faballey.com/images/Product/ZNS00035/d5.jpg', 'https://img.faballey.com/images/Product/ZNS00035/d6.jpg']"
"For all those who shy away from statement pieces, this set is the perfect pick. Features a kundan studded choker with white pearls on either side, and stud earrings Style Tip : Pair this set with a beaded clutch.",3500, 1750,"['https://img.faballey.com/images/Product/ZNS00051/d3.jpg', 'https://img.faballey.com/images/Product/ZNS00051/d4.jpg', 'https://img.faballey.com/images/Product/ZNS00051/d5.jpg', 'https://img.faballey.com/images/Product/ZNS00051/d6.jpg']"
"Glam up this festive season with this stunning, double layered kundan set. Features a double layered kundan necklace with pearl drop beads and matching earrings  Style Tip : Style your hair in starlet waves to complement the elegance of the set.",4500, 2250,"['https://img.faballey.com/images/Product/ZNS00039/d3.jpg', 'https://img.faballey.com/images/Product/ZNS00039/d4.jpg', 'https://img.faballey.com/images/Product/ZNS00039/d5.jpg', 'https://img.faballey.com/images/Product/ZNS00039/d6.jpg']"
Take your festive wardrobe up a notch with this ethereal kundan set. Features a gold plated white kundan set that comes with pearl drop kundan earrings and a mangtikka. Style Tip: Be the star of the night by pairing this set with an ivory ensemble.,7000, 3500,"['https://img.faballey.com/images/Product/ZNS00002/d3.jpg', 'https://img.faballey.com/images/Product/ZNS00002/d4.jpg', 'https://img.faballey.com/images/Product/ZNS00002/d5.jpg', 'https://img.faballey.com/images/Product/ZNS00002/d6.jpg', 'https://img.faballey.com/images/Product/ZNS00002/d7.jpg']"
Add color to your evening look with this green beaded piece. Features a double string of blue beads and kundan drops along with earrings  Style Tip: Pair this piece to give your fusion look a stylish edge.,3500, 1750,"['https://img.faballey.com/images/Product/ZNS00050/d3.jpg', 'https://img.faballey.com/images/Product/ZNS00050/d4.jpg', 'https://img.faballey.com/images/Product/ZNS00050/d5.jpg', 'https://img.faballey.com/images/Product/ZNS00050/d6.jpg']"
This statement kundan and blue bead set is what dream treasure troves are made of. Features a double blue bead string necklace with kundan drops and matching earring  Style Tip: Keep the outfit light to work the look right.,3500, 1750,"['https://img.faballey.com/images/Product/ZNS00041/d3.jpg', 'https://img.faballey.com/images/Product/ZNS00041/d4.jpg', 'https://img.faballey.com/images/Product/ZNS00041/d5.jpg', 'https://img.faballey.com/images/Product/ZNS00041/d6.jpg']"
Give your festive look a sparkling finish with this classic kundan and green bead set. Features a necklace crafted from layers of kundan stones accentuated with delicate green bead clusters.  Style Tip : Wear it with earrings with a similar jhallar effect.,3500, 1750,"['https://img.faballey.com/images/Product/ZNS00055/d3.jpg', 'https://img.faballey.com/images/Product/ZNS00055/d4.jpg', 'https://img.faballey.com/images/Product/ZNS00055/d5.jpg', 'https://img.faballey.com/images/Product/ZNS00055/d6.jpg']"
"Glam up this festive season with this stunning, double layered kundan set. Features a double layered kundan necklace with green drop beads and matching earrings  Style Tip : Style your hair in starlet waves to complement the elegance of the set.",4500, 2250,"['https://img.faballey.com/images/Product/ZNS00038/d3.jpg', 'https://img.faballey.com/images/Product/ZNS00038/d4.jpg', 'https://img.faballey.com/images/Product/ZNS00038/d5.jpg', 'https://img.faballey.com/images/Product/ZNS00038/d6.jpg']"
Uplift your everyday neutrals with a simple addition of this gold-plated necklace set. It features a textured statement choker necklace with a pair of dangler earrings.  Style Tip: Wear the piece with a solid jewel-toned maxi dress for a chic morning-to-night look.,2200, 1100,"['https://img.faballey.com/images/Product/ZNS00070/d3.jpg', 'https://img.faballey.com/images/Product/ZNS00070/d4.jpg', 'https://img.faballey.com/images/Product/ZNS00070/d5.jpg', 'https://img.faballey.com/images/Product/ZNS00070/d6.jpg']"
A delicately detailed diamond set is a evening wear must-have. This diamond earring necklace set features a floral focal pendant.  Style Tip : Style it with a statement silver watch.,5500, 2750,"['https://img.faballey.com/images/Product/ZNS00032/d3.jpg', 'https://img.faballey.com/images/Product/ZNS00032/d4.jpg', 'https://img.faballey.com/images/Product/ZNS00032/d5.jpg', 'https://img.faballey.com/images/Product/ZNS00032/d6.jpg', 'https://img.faballey.com/images/Product/ZNS00032/d7.jpg']"
"Uplift your cocktail look with this white and blue beaded kundan set. Features a statement setting of pearls, blue beads and classic kundan along with dainty stud earrings  Style Tip: Wear this set with your hair pulled back.",3500, 1750,"['https://img.faballey.com/images/Product/ZNS00042/d3.jpg', 'https://img.faballey.com/images/Product/ZNS00042/d4.jpg', 'https://img.faballey.com/images/Product/ZNS00042/d5.jpg', 'https://img.faballey.com/images/Product/ZNS00042/d6.jpg']"
"For all those who shy away from statement pieces, this set is the perfect pick. Features a kundan studded choker with white pearls on either side, and stud earrings Style Tip : Pair this set with a beaded clutch.",3500, 1750,"['https://img.faballey.com/images/Product/ZNS00045/d3.jpg', 'https://img.faballey.com/images/Product/ZNS00045/d4.jpg', 'https://img.faballey.com/images/Product/ZNS00045/d5.jpg', 'https://img.faballey.com/images/Product/ZNS00045/d6.jpg']"
"Take the glamour quotient up a few notches with this aqua drop diamond set. Featuring an enchanting aqua stone drop on the necklace and earrings, this set is equal parts sizzling siren and sophisticated.  Style Tip: Pick a deep neck top to flaunt every bit of this set.",4900, 2450,"['https://img.faballey.com/images/Product/ZNS00013/d3.jpg', 'https://img.faballey.com/images/Product/ZNS00013/d4.jpg', 'https://img.faballey.com/images/Product/ZNS00013/d5.jpg', 'https://img.faballey.com/images/Product/ZNS00013/d6.jpg']"
"Elegance takes form in this stunning kundan and pearl necklace set. Features a necklace crafted from strands of minute pearls, kundan stones and pearl drops, along with matching earrings Style Tip : Pair this set with an off-shoulder blouse for a soft, romantic look.",4000, 2000,"['https://img.faballey.com/images/Product/ZNS00052/d3.jpg', 'https://img.faballey.com/images/Product/ZNS00052/d4.jpg', 'https://img.faballey.com/images/Product/ZNS00052/d5.jpg', 'https://img.faballey.com/images/Product/ZNS00052/d6.jpg']"
"Traditional kundan pieces get a strikingly glamorous update with this gold-plated floral pendant necklace set. The set features a floral pendant and stud earrings crafted with a beautiful mix of kundan, green beads and small crystals.  Style Tip: Pair the set with a touch-neck blouse. Disclaimer: Our jewelry is handcrafted using natural stones which inherently vary in size, colour, and Shape, due to which the product you receive may be slightly different from what is shown. There may be natural blemishes in the stones that are not product flaws, but in fact, are what make your piece unique.  ",4200, 2100,"['https://img.faballey.com/images/Product/ZNS00063/d3.jpg', 'https://img.faballey.com/images/Product/ZNS00063/d4.jpg', 'https://img.faballey.com/images/Product/ZNS00063/d5.jpg', 'https://img.faballey.com/images/Product/ZNS00063/d6.jpg', 'https://img.faballey.com/images/Product/ZNS00063/d7.jpg']"
"Set the tone for subtle glamour with this kundan and green drop set. Features a necklace crafted out of pearls, kundan and delicate green beads along with matching earrings.  Style Tip : Pair the set with a chandbali styled mangtika.",3500, 1750,"['https://img.faballey.com/images/Product/ZNS00047/d3.jpg', 'https://img.faballey.com/images/Product/ZNS00047/d4.jpg', 'https://img.faballey.com/images/Product/ZNS00047/d5.jpg', 'https://img.faballey.com/images/Product/ZNS00047/d6.jpg']"
"Your search for the perfect rani haar ends here. Features a long necklace made of a statement kundan pendant and pearl beaded strings, and kundan earrings.  Style Tip: Paired with a sleek saree, make this set your pick for a cocktail-do.",3000, 1500,"['https://img.faballey.com/images/Product/ZNS00008/d3.jpg', 'https://img.faballey.com/images/Product/ZNS00008/d4.jpg', 'https://img.faballey.com/images/Product/ZNS00008/d5.jpg', 'https://img.faballey.com/images/Product/ZNS00008/d6.jpg']"
Glam up this festive season with this stunner of a gold plated kundan set. Features a layered kundan necklace with a green drop along with matching dangler earrings  Style Tip: Pair the set with a off-shoulder blouse,7500, 3750,"['https://img.faballey.com/images/Product/ZNS00018/d3.jpg', 'https://img.faballey.com/images/Product/ZNS00018/d4.jpg', 'https://img.faballey.com/images/Product/ZNS00018/d5.jpg', 'https://img.faballey.com/images/Product/ZNS00018/d6.jpg']"
"Eclectic and bold, this silver and green bead earring necklace set is a winner of an accessory to pair with any and every outfit. Features a distinctive star design necklace with green stone and matching dangler earrings.  Style Tip: Pair this a earthy hued cotton saree to take you from office to a festive-do in style.",3500, 1750,"['https://img.faballey.com/images/Product/ZNS00021/d3.jpg', 'https://img.faballey.com/images/Product/ZNS00021/d4.jpg', 'https://img.faballey.com/images/Product/ZNS00021/d5.jpg', 'https://img.faballey.com/images/Product/ZNS00021/d6.jpg', 'https://img.faballey.com/images/Product/ZNS00021/d8.jpg']"
Elevate your cocktail look with a glamourous dose of bling with this white and blue diamond set. Features a white diamond necklace with a statement blue focal stone. Style Tip: Pair this with an electric blue satin dress for a lush feel.,5250, 2625,"['https://img.faballey.com/images/Product/ZNS00011/d3.jpg', 'https://img.faballey.com/images/Product/ZNS00011/d4.jpg', 'https://img.faballey.com/images/Product/ZNS00011/d5.jpg', 'https://img.faballey.com/images/Product/ZNS00011/d6.jpg']"
"Make a show stopping entry with this eclectic necklace set. Features double string of pearls attached to red meenakari work outlined kundan, finished off with white pearl drops. Style Tip : Style it with a cream and red lehenga or suit.",4000, 2000,"['https://img.faballey.com/images/Product/ZNS00056/d3.jpg', 'https://img.faballey.com/images/Product/ZNS00056/d4.jpg', 'https://img.faballey.com/images/Product/ZNS00056/d5.jpg', 'https://img.faballey.com/images/Product/ZNS00056/d6.jpg']"
